nameHash,idHash,plotId,fraction
fefc228890890504d991b05c639dabdd51c5adf206b35e5dcf33be18a5fefda7,7942f03f52ae0cf7f5f73d57605d4135b805cdb8fa451d63b59bd3ef9aa6e106,44,9/1000
71d9f85649a4481a32e6cf4f611cf3a92e9d1bb8aa12c1f6aab2ddbe2686809a,9d8d5cb853aa2f05e2db5961aa05bfff6d26f04acfa64ae533c83b88c0cafb12,152,11/10000
71d9f85649a4481a32e6cf4f611cf3a92e9d1bb8aa12c1f6aab2ddbe2686809a,9d8d5cb853aa2f05e2db5961aa05bfff6d26f04acfa64ae533c83b88c0cafb12,44,1/250
2ef2b1c4fa0a07db264aeab369eb80ad53d8faa5d27f79c146ab4c3a924b562c,020b2add939e631bc1717db8e48d4a394f9179f1ca87143b043fc3fb9797f986,44,9/1000
a52b950364bc4aa3d1d93c004f111a32810ef3a7141f15c25b4f562f397534a4,6347f4eeca5bd8a29ff3d1998cc656bb672acbf3cc97824a7ecf6efbe42b51a0,152,11/10000
a52b950364bc4aa3d1d93c004f111a32810ef3a7141f15c25b4f562f397534a4,6347f4eeca5bd8a29ff3d1998cc656bb672acbf3cc97824a7ecf6efbe42b51a0,44,1/250
63f789a4f0b551ee9f8b826109adef01db828e84c6bb0a632aa41a935fb300ba,631d2ae403eb73e2deecbd1bbc20ea5b2d0718ad063685d633b309b6a167fc02,152,11/10000
63f789a4f0b551ee9f8b826109adef01db828e84c6bb0a632aa41a935fb300ba,631d2ae403eb73e2deecbd1bbc20ea5b2d0718ad063685d633b309b6a167fc02,44,1/250
63a3002d3260327511c82f002ef627e700e3ba3a614feb9cb1c534ff3a31d7c8,23600c6fdcbcf7f45055db221ef82f2b9a804bbeb6a798424560171104b4d1af,44,9/1000
07f25c385813c5dba8edfe8f1142982f8f94ef3970661c598dffe810005e0f06,e1f86cf68957924ac39c030683e348bff004c6864a14307938120584351c8a66,152,11/5000
07f25c385813c5dba8edfe8f1142982f8f94ef3970661c598dffe810005e0f06,e1f86cf68957924ac39c030683e348bff004c6864a14307938120584351c8a66,44,13/500
09fb8d08cf6becd8804f38a21e4ff7e57bd375e136a01c5ace740c9429a13bfb,f544428cb36a8b6da13db154fe95bc136910cde04e207f63bcb6713a09beffaf,44,9/1000
db6911b4f5e741bc46fac03beb2d003aa0b3caf4535d279f16c141a4c31af573,3e3c8d1335c0fa80125b96b091e41c155d859b85fee753a0bd9cd2ea57bbddfe,152,11/10000
db6911b4f5e741bc46fac03beb2d003aa0b3caf4535d279f16c141a4c31af573,3e3c8d1335c0fa80125b96b091e41c155d859b85fee753a0bd9cd2ea57bbddfe,44,13/1000
217163489568e86ab44198ff1eeb5acc1806d279285eaddb325d6f414b7df50c,c43b2875bfacaf575edb30475299602cbeb9798c33c8991d5477da39f926cb4c,152,11/10000
217163489568e86ab44198ff1eeb5acc1806d279285eaddb325d6f414b7df50c,c43b2875bfacaf575edb30475299602cbeb9798c33c8991d5477da39f926cb4c,44,13/1000
58fe0cb99a4b243250da1134300c23e3b89a2f383a17257e39bfdb3306d59fda,fb0b0ecfdb1ae6254a79cbf1ac2ac2a7337c0bacd9c9a6e17a9690d6c808a19f,44,9/1000
f1b8617d80ab2dd60f8c85990a9e719dc827396633d72a13208fe254aab7084f,5ecea3c601d9af7829dd61d0836c72b56cd1501b718af7ca542d4b1bc0e3008f,152,11/10000
f1b8617d80ab2dd60f8c85990a9e719dc827396633d72a13208fe254aab7084f,5ecea3c601d9af7829dd61d0836c72b56cd1501b718af7ca542d4b1bc0e3008f,44,1/250
18eadc3a595bc06cd5de5475f005554f3570a5c4368730df76f4f8431616c742,5a462b7aad9f83de3293863a3620f08aa154c2ad6cf4c875c6fe51a6388994a6,152,11/10000
18eadc3a595bc06cd5de5475f005554f3570a5c4368730df76f4f8431616c742,5a462b7aad9f83de3293863a3620f08aa154c2ad6cf4c875c6fe51a6388994a6,44,1/250
